College Code,College Name,District,Branch Code,Branch Name,Cutoff OC,Cutoff MBC,Rank OC,Rank MBC
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",Chennai,CS,COMPUTER SCIENCE AND ENGINEERING,200,199.3333333,22,291
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",Chennai,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,199.5,198,180,773
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",Chennai,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,197.5,195.5,1012,2407
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",Chengalpattu,CS,COMPUTER SCIENCE AND ENGINEERING,199,197.5,350,1007
4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",Chengalpattu,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,198,196.5,757,1787
5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore",Cuddalore,AM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),160.5,144.5,49183,72737
5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore",Cuddalore,CF,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),163,142,45485,76908
5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore",Cuddalore,CS,COMPUTER SCIENCE AND ENGINEERING,171,146,33272,70979
5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore",Cuddalore,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,151,138,63393,82838
5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore",Cuddalore,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,121,94.5,108763,142692
5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore",Cuddalore,IT,INFORMATION TECHNOLOGY,159.5,141.5,50340,77795
1013,"University College of Engineering, Villupuram, Kakuppam, Villupuram District 605103 ",Villupuram,CS,COMPUTER SCIENCE AND ENGINEERING,177,170,24821,35084
1013,"University College of Engineering, Villupuram, Kakuppam, Villupuram District 605103 ",Villupuram,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,166,143.5,40914,74098
1013,"University College of Engineering, Villupuram, Kakuppam, Villupuram District 605103 ",Villupuram,IT,INFORMATION TECHNOLOGY,173.095,157,30082,54258
1014,"University College of Engineering, Tindivanam, Melpakkam, Tindivanam, Villupuram District 604001 ",Villupuram,CS,COMPUTER SCIENCE AND ENGINEERING,167.5,155,38762,57042
