College Code,College Name,District,Branch Code,Branch Name,OC,MBC
1122,"Vel Tech High Tech Dr. Rangarajan Dr. Sakunthala Engineering College, Avadi-Alamathi Road, Chennai 600 062",Chennai,EC,Electronics and Communication Engineering,65284,110407
1123,"Gojan School of Business and Technology, Alamathi, Chennai 600062",Chennai,EC,Electronics and Communication Engineering,110780,
1125,"P M R Engineering College, Adayalampattu, Maduravoyal , Vanagaram, Chennai 600095",Chennai,EC,Electronics and Communication Engineering,999999999999,999999999999
1133,"Annai Veilankannis College of Engineering, Gandhi Road, Nedungundram, Chennai 600048",Chennai,CS,Computer Science and Engineering,109514,110244
1140,"Jeppiaar Institute Of Technology, Kunnam Village, Sriperumpudur Taluk,Kancheepuram District 631604",Kancheepuram,AD,Artificial Intelligence and Data Science,999999999999,999999999999
1149,"St. Joseph’s Institute of Technology, Jeppiaar Nagar, Old Mahabalipuram Road (OMR),Chennai 600119",Chennai,AD,Artificial Intelligence and Data Science,999999999999,999999999999
1149,"St. Josephs Institute of Technology, Jeppiaar Nagar, Old Mahabalipuram Road (OMR), Chennai 600119",Chennai,EC,Electronics and Communication Engineering,51090,110856
1150,"Sri Jayaram Institute of Engineering and Technology, 51 N, Elavur, 58N, Natham,Gummidipoondi Taluk, Thiruvallur District 601201",Thiruvallur,EC,Electronics and Communication Engineering,999999999999,999999999999
1202,"D M I College of Engineering, Palanchoor, Nazrethpet, Chennai 602103",Chennai,IT,Information Technology,89238,109899
1205,"Lord Venkateshwara Engineering College, Walajabad Post, Kancheepuram District631605",Kancheepuram,CS,Computer Science and Engineering,999999999999,999999999999
1205,"Lord Venkateshwara Engineering College, Walajabad Post, Kancheepuram District631605",Kancheepuram,EC,Electronics and Communication Engineering,999999999999,999999999999
1207,"Kings Engineering College, Sriperumpudur Taluk, Kancheepuram District 602105",Kancheepuram,AD,Artificial Intelligence and Data Science,999999999999,999999999999
1207,"Kings Engineering College, Sriperumpudur Taluk, Kancheepuram District 602105",Kancheepuram,IT,Information Technology,96809,110900
1207,"Kings Engineering College, Sriperumpudur Taluk, Kancheepuram District 602105",Kancheepuram,RM,Robotics and Automation,110838,
1209,"Pallavan College of Engineering, Thimmasamudram, Kancheepuram District 631502",Kancheepuram,CS,Computer Science and Engineering,999999999999,999999999999
1209,"Pallavan College of Engineering, Thimmasamudram, Kancheepuram District 631502",Kancheepuram,EC,Electronics and Communication Engineering,999999999999,999999999999
1209,"Pallavan College of Engineering, Thimmasamudram, Kancheepuram District 631502",Kancheepuram,IT,Information Technology,999999999999,999999999999
1217,"Sree Sastha Institute of Engineering and Technology, Chembarambakkam, Chennai 600123",Chennai,EC,Electronics and Communication Engineering,999999999999,999999999999
1218,"Sri Muthukumaran Institute of Technology, Near Mangadu, Chennai 600069",Chennai,EC,Electronics and Communication Engineering,110832,
